mz	p.value	t.score	mode
611.1472	0.343922087	-1.483773553	negative
316.0596	0.623483693	0.798902455	negative
402.0806	0.692831906	-0.657122604	negative
221.06	0.112289689	-2.517087078	negative
222.1509	0.054942801	3.081241515	negative
164.1089	0.084588703	2.747510779	negative
382.1005	0.083079871	2.763568953	negative
460.0775	0.187024618	2.054109357	negative
525.3563	0.390797416	1.356595123	negative
208.1351	0.018914481	3.849304659	negative
135.0298	0.758174401	0.520148759	negative
135.0297	0.64204445	-0.760479572	negative
429.3026	0.018593087	-3.861456989	negative
485.3265	0.014713434	-4.040138551	negative
501.2128	8.33E-07	15.01530698	negative
140.0118	0.924583918	0.160205199	negative
216.1351	0.745722377	-0.552167761	negative
755.0463	0.182834249	2.079824565	negative
274.1405	0.092770787	2.674424678	negative
294.9499	0.211295953	-1.943358782	negative
133.0142	0.258060118	-1.768917433	negative
168.043	0.159948615	-2.198828194	negative
202.1196	0.433374143	1.226880831	negative
131.0825	0.436233828	-1.22062106	negative
294.9501	0.676205531	0.689773574	negative
173.1043	0.738696626	-0.565694331	negative
111.0199	0.643296345	-0.758482264	negative
145.0982	0.988530047	0.020790447	negative
131.0824	0.45202314	-1.180074947	negative
171.1028	0.748977971	0.541506897	negative
79.9573	0.398117059	1.337706788	negative
135.0451	0.597867124	0.858041819	negative
159.1026	0.324750103	1.543814406	negative
167.0713	0.297844461	1.627769656	negative
214.1448	0.798280085	0.430480254	negative
358.2416	0.327003277	1.538296215	negative
71.0138	0.154254341	2.233619315	negative
129.0557	0.230936235	1.870901539	negative
218.103	0.57671927	-0.901029458	negative
167.0874	0.18405521	2.073025875	negative
126.056	0.239451725	1.838435792	negative
185.082	0.18405521	2.072660927	negative
179.0349	0.221928527	1.900791315	negative
79.9573	0.51663832	1.040069872	negative
165.0768	0.215639958	1.92166873	negative
186.1135	0.441266628	1.206778657	negative
247.1187	0.473867298	1.136299116	negative
349.1125	0.075300323	2.8455522	negative
415.0996	0.129091967	2.392643236	negative
280.0931	0.185090555	2.066787964	negative
439.0897	0.093607464	2.667730157	negative
439.144	0.096310678	2.645049172	negative
378.1188	0.178235465	2.104676566	negative
246.0876	0.352591809	-1.462196394	negative
291.0872	0.984039284	-0.032627732	negative
182.0128	0.733762397	0.578011435	negative
296.1278	0.43768594	1.216016448	negative
171.0663	0.178235465	2.10505358	negative
137.0356	0.444895534	1.197991504	negative
381.1386	0.426921878	1.249460443	negative
165.0768	0.099030782	2.608930118	negative
279.098	0.925798836	-0.155403474	negative
196.0887	0.783724177	0.462758409	negative
316.2857	0.923462203	0.16452992	negative
120.0697	0.038980453	3.3464819	negative
246.0769	0.091565463	2.687194149	negative
441.1596	0.454858908	1.172231384	negative
266.0701	0.154774828	-2.228485543	negative
273.0758	0.283958646	1.671870212	negative
243.1709	0.020363565	3.803718428	negative
443.1119	0.297844461	1.626836592	negative
260.1033	0.299358845	1.619302708	negative
423.0946	0.429236023	1.242441773	negative
441.1065	0.374772604	1.405067581	negative
377.1589	0.878529952	-0.256918623	negative
196.0109	0.545585727	-0.971462216	negative
416.1118	0.66762627	0.70382529	negative
318.1148	0.75739043	0.522441998	negative
138.0562	0.245198225	-1.810126028	negative
236.0232	0.736975113	0.570208748	negative
394.1603	0.304020598	-1.602215044	negative
243.1712	0.112527991	-2.513108796	negative
463.0624	0.390474274	1.362054878	negative
180.0335	0.817643031	0.396229501	negative
193.0717	0.013648694	-4.103219567	negative
253.0927	0.016219981	-3.969217954	negative
193.0668	0.830780092	-0.367647916	negative
248.0597	0.13174253	-2.374212503	negative
416.1117	0.508950566	1.055732202	negative
131.0713	0.234356067	1.859354581	negative
101.0243	0.173323877	2.132355607	negative
182.0823	0.959313905	0.080380946	negative
397.1335	0.75671519	0.525689998	negative
463.0623	0.832818739	0.35834751	negative
457.1546	0.846194455	0.325224758	negative
376.1547	0.923215991	0.16683965	negative
115.04	0.187064899	2.051733446	negative
243.062	0.119444457	2.458925617	negative
120.0696	0.066417886	2.937366789	negative
355.0653	0.893592228	-0.21877653	negative
158.0823	0.299344492	1.622754893	negative
404.1496	0.57980882	-0.892386206	negative
426.1314	0.322666036	-1.551626434	negative
338.9903	0.550294743	0.959310506	negative
246.0435	0.47778096	-1.125865646	negative
316.2858	0.614316233	0.823065399	negative
218.049	0.118338995	-2.467413843	negative
128.0101	0.520025663	1.032448014	negative
216.1135	0.767236146	-0.500341435	negative
263.1019	0.648784712	0.744044573	negative
381.1386	0.262324965	1.751592519	negative
384.1464	0.332339908	1.521207393	negative
395.1065	0.502083326	1.077441728	negative
419.1117	0.329108035	1.529806248	negative
441.1596	0.205315193	1.965748499	negative
277.0875	0.915211567	-0.180961865	negative
427.1443	0.374670916	1.406808408	negative
433.053	0.396723053	1.340949002	negative
93.0345	0.391420728	1.354562893	negative
196.0526	0.262324965	1.751844977	negative
343.0993	0.18864659	2.043146081	negative
371.015	0.548560994	0.964297046	negative
424.144	0.144462585	2.284936994	negative
463.0624	0.958193573	-0.085320645	negative
481.0631	0.633974287	0.775967905	negative
645.2507	0.748344589	-0.543223765	negative
155.0618	0.178235465	2.101457729	negative
277.1553	0.010916845	4.290653201	negative
103.0035	0.527414711	-1.016139097	negative
216.0337	0.080533476	-2.798851066	negative
423.0946	0.759664553	0.514746331	negative
300.0521	0.212347266	-1.937336951	negative
380.0392	0.502086297	-1.075356212	negative
248.0593	0.098772044	-2.613502368	negative
79.957	0.158482798	-2.209129006	negative
218.0493	0.089682533	-2.700226263	negative
390.0538	0.199925699	-1.987652639	negative
252.9691	0.376469109	1.401212439	negative
314.068	0.069013328	-2.906779465	negative
246.0439	0.094596316	-2.661334499	negative
182.0678	0.391420728	1.354801766	negative
152.0025	0.012738628	4.156924474	negative
319.1016	0.877100313	0.264310965	negative
381.1379	0.091565463	2.686448419	negative
356.1028	0.100642592	-2.59869102	negative
136.0074	0.67186307	-0.696241931	negative
409.1647	0.599460419	-0.854612599	negative
206.082	0.929781537	-0.145147414	negative
151.0261	0.624128962	0.797639495	negative
319.1014	0.52545045	-1.019250859	negative
